date,branch_installs,app_installs
2019-09-07,15892,31731
2019-09-07,15892,31731
2019-09-07,15892,31731
2019-09-07,15892,31731
2019-09-07,15892,31731
2019-09-07,15892,31731
2019-09-07,15892,31731
2019-09-07,15892,31731
2019-09-07,15892,31731
2019-09-07,15892,31731
2019-09-07,15892,31731
2019-09-07,15892,31731
2019-09-07,15892,31731
2019-09-07,15892,31731
2019-09-07,15892,31731
2019-09-07,15892,31731
2019-09-07,15892,31731
2019-09-07,15892,31731
2019-09-07,15892,31731
2019-09-07,15892,31731	
2019-09-07,15892,31731
2019-09-07,15892,31731
2019-09-07,15892,31731
2019-09-07,15892,31731
2019-09-07,15892,31731
2019-09-07,15892,31731
2019-09-07,15892,31731
2019-09-07,15892,31731
