date ,registrations,total_questions_asked,total_users_asking_questions,total_videos_watched,total_students_watching_videos
2019-08-29,11964,6979,1935,41316,18262
2019-08-30,10241,5778,1637,37185,16327
2019-08-31,9751,5632,1574,34980,15517
2019-09-01,9875,7953,1737,38333,15475
2019-09-02,8847,6357,1664,37769,14185
2019-09-03,9568,6591,1816,36603,14795
2019-09-04,10111,7128,1925,34294,15274
2019-09-05,10067,6496,1740,32966,15263
2019-09-06,10867,5609,1576,35970,16246
2019-09-07,10121,5616,1505,34215,15661
2019-09-08,13326,7710,1910,46931,19954
2019-09-09,11642,6260,1694,39821,17242
2019-09-10,13814,7159,2075,46784,20301
2019-09-11,12753,6098,1861,41935,18754
2019-09-12,13862,6742,2000,45722,20455
2019-09-13,13388,6897,1846,44923,20042
2019-09-14,12778,7555,1902,38996,18488
2019-09-15,17351,8177,2185,60809,25192
2019-09-16,14826,6875,1941,51194,21749
2019-09-17,14964,7051,2054,43969,21793
2019-09-18,15239,7325,2156,46947,22482
2019-09-19,15500,7313,2104,53345,23283
2019-09-20,14349,6782,1973,48489,21833
2019-09-21,13691,6460,1775,47212,21042
2019-09-22,16977,8506,2171,63654,25110
2019-09-23,14735,7422,2070,47688,21974
2019-09-24,15006,7287,2157,47284,22243
2019-09-25,14942,7631,2173,50585,22636
2019-09-26,12900,7328,2129,45173,20381
2019-09-27,10880,6335,2039,35588,17093
2019-09-28,9860,6441,1896,39492,15978
2019-09-29,10703,7889,2037,41642,16831
2019-09-30,9595,6094,1784,33672,15307
2019-09-01,9243,6478,1812,34137,14766
2019-10-02,10474,7114,2030,39903,16741
2019-10-03,9746,6460,1877,35593,15395
2019-10-04,9076,6758,1817,35648,14713
2019-10-05,8070,5913,1626,32698,13486
2019-10-06,8935,7045,1654,36208,14614
2019-10-07,8596,5718,1570,32592,13838
2019-10-08,9613,6481,1822,35011,15190

2019-10-09,9441,8648,2581,33232,14615
2019-10-10,11009,8161,2176,41145,17111
2019-10-11,10705,7333,2006,40865,17237
2019-10-12,10492,7850,1924,41358,17164
2019-10-13,12007,9123,2143,49910,19376
2019-10-14,11231,7783,1989,42216,18142
2019-10-15,11589,8339,2129,42251,18383
2019-10-16,10702,7054,1933,36603,16896
2019-10-17,10033,8141,2222,30952,15165
2019-10-18,9683,7645,2084,29868,14634
2019-10-19,9454,8177,1965,30581,14611
2019-10-20,10444,9400,2196,43644,16034
2019-10-21,10822,7769,2184,32760,15855
2019-10-22,10443,8230,2189,32178,15413
2019-10-23,10151,7490,2161,159706,24324
2019-10-24,9454,8111,2116,47268,19968
2019-10-25,8235,6915,1805,42785,17354
2019-10-26,7463,7221,1691,38427,15757
2019-10-27,6057,6540,1352,37598,12305
2019-10-28,8650,8279,1973,48406,16741
2019-10-29,9684,8588,2260,48812,19546
2019-10-30,10334,10047,2438,51125,20583
2019-10-31,10426,11698,2684,49383,20300
2019-11-01,10124,10216,2510,51633,21373
2019-11-02,10124,10692,2560,60142,21474
2019-11-03,10457,12224,2646,56263,22312
2019-11-04,8475,12097,2975,51081,20793
2019-11-05,6140,12742,3260,52916,20205
2019-11-06,5878,12574,3205,44484,17932
2019-11-07,5831,13163,3329,53014,20063
2019-11-08,5563,11492,3102,49625,19034
2019-11-09,5575,13984,3210,51131,18859
2019-11-10,6482,16583,3396,55755,19029
2019-11-11,6197,13413,3460,48094,18547
2019-11-12,6561,14594,3843,55235,21109
2019-11-13,6271,14119,3873,52999,20481

2019-11-14,9296,15713,4005,59852,23181
2019-11-15,14318,15191,3931,70343,29383
2019-11-16,12779,14880,3661,69700,27041
2019-11-17,15107,21773,4297,82120,31164
2019-11-18,14195,16460,3891,71875,29106

2019-11-19,14387,15859,4087,69232,29800
2019-11-20,14787,17488,4450,74740,31041
2019-11-21,14500,16733,4273,72159,30615
2019-11-22,13961,16027,3975,72030,29653
2019-11-23,13210,17925,3826,65792,27441
2019-11-24,15250,20887,4434,71445,28521
2019-11-25,14971,19189,4244,68716,28087
2019-11-26,15194,16512,4279,72421,29918
2019-11-27,14275,18271,4397,76644,30504
2019-11-28,13865,17769,4213,76243,31663

2019-11-29,13312,17193,4104,76967,30698
2019-11-30,13462,17541,4046,72635,29829
2019-12-01,16430,23639,4697,91363,34881
2019-12-02,14996,19442,4470,79227,31948
2019-12-03,15192,18478,4617,85728,32994
2019-12-04,15306,19274,4900,132137,33394
2019-12-05,12565,18388,4560,125337,30370
2019-12-06,10505,17868,4245,114644,26261
2019-12-07,10861,18714,4018,97528,26422
2019-12-08,12452,23930,4591,84790,29637
2019-12-09,11216,19522,4402,71246,27323
2019-12-10,9840,18056,4417,67416,25009
2019-12-11,9659,18380,4317,64419,24636
2019-12-12,9338,17543,4385,66029,25097
2019-12-13,9056,17852,4364,67566,25133
2019-12-14,8874,19690,4219,67938,25156
2019-12-15,10203,27658,4829,82687,27522
2019-12-16,9367,19334,4481,70254,25635
2019-12-17,8925,19784,4430,68582,25451
2019-12-18,9208,20022,4557,70115,25327
2019-12-19,8661,19444,4376,66293,24658
2019-12-20,7799,18474,4037,59449,22124
2019-12-21,7983,20033,3968,63304,22575
2019-12-22,8411,25016,4237,70637,23181
2019-12-23,8282,20734,4230,68499,23596
2019-12-24,7900,19354,4213,62702,22794
2019-12-25,8374,21765,4344,71415,24378
2019-12-26,8778,22933,4637,72031,24976
2019-12-27,9904,27789,4771,76280,25744
2019-12-28,8897,26623,4544,72085,24943
2019-12-29,9172,26683,4614,77118,25210
2019-12-30,8956,23618,4618,82813,24188
2020-01-01,7131,19701,3735,55841,20041
2020-01-02,10292,25525,5204,73642,25803
2020-01-03,9988,23993,5127,68328,24624
2020-01-04,9942,26239,5256,74144,26064
2020-01-05,10257,27339,5352,79510,26754
2020-01-06,9882,22157,4933,71546,25544
2020-01-07,8945,18852,4619,63824,23381
2020-01-08,8641,18293,4537,63197,22784
2020-01-09,7931,15126,4128,54485,20650
2020-01-10,7230,14662,3958,51499,19408
2020-01-11,6666,14412,3636,50343,18705
2020-01-12,7389,17891,3916,56680,19657
2020-01-13,7329,14492,3822,51304,18864
2020-01-14,7113,13767,3664,47594,17941

2020-01-15,7641,14299,3897,51375,19112
2020-01-16,7895,16095,4240,53315,20077
2020-01-17,9904,15675,4084,63910,22624
2020-01-18,9775,15916,3931,62270,23330

