date,registrations,total_questions_asked,total_users_asking_questions,(New-Users)Q-Ask,(New)Q-Ask-Count
2019-08-29,4299,33907,16019,0,0
2019-08-30,4245,32330,15748,0,0
2019-08-31,3830,30895,14830,0,0
2019-09-01,3959,34780,15646,0,0
2019-09-02,3310,29310,13604,0,0
2019-09-03,3975,28290,14009,0,0
2019-09-04,4050,28185,14179,0,0
2019-09-05,3616,28074,13712,0,0
2019-09-06,4124,29776,14395,0,0
2019-09-07,4205,30058,14494,0,0
2019-09-08,5780,39690,17729,0,0
2019-09-09,5033,32695,15162,0,0
2019-09-10,7165,41817,18889,0,0
2019-09-11,6149,37027,16954,0,0
2019-09-12,6479,41964,18730,0,0
2019-09-13,6238,40782,18439,0,0
2019-09-14,5257,18806,8993,0,0
2019-09-15,8755,54869,22935,0,0
2019-09-16,7383,45182,20102,0,0
2019-09-17,5818,33242,15586,0,0
2019-09-18,4958,33491,16024,0,0
2019-09-19,6428,44229,20279,0,0
2019-09-20,6217,44266,20178,0,0
2019-09-21,5990,42633,19449,0,0
2019-09-22,6834,51200,21979,0,0
2019-09-23,5631,42823,19671,0,0
2019-09-24,5214,30139,14396,0,0
2019-09-25,5553,46694,21190,0,0
2019-09-26,5174,43668,20356,0,0
2019-09-27,5499,30003,14825,0,0
2019-09-28,6344,39546,18979,0,0
2019-09-29,5797,41050,18441,0,0
2019-09-30,5887,35209,17016,10000,10000
2019-10-01,5673,36404,17466,4970,10724
2019-10-02,6694,47778,21676,6938,15228
2019-10-03,5618,42667,20054,6004,13307
2019-10-04,4707,38838,18559,5221,11165
2019-10-05,4391,35689,16896,4606,9974
2019-10-06,4556,35409,15893,4256,9949
2019-10-07,4031,30304,14288,3750,8240
2019-10-08,4087,33156,14980,3859,8690

2019-10-09,4555,34494,16233,4137,9196
2019-10-10,5908,40143,19127,5803,12422
2019-10-11,6689,42854,20814,6558,13851
2019-10-12,8025,44556,22063,7325,14938
2019-10-13,7287,51095,23551,7439,16416
2019-10-14,5997,43266,21170,5998,12482
2019-10-15,5664,43744,21530,5705,11440
2019-10-16,5642,37702,18803,4603,9650
2019-10-17,5525,41978,19301,4030,9511
2019-10-18,5247,38689,18331,3741,8602
2019-10-19,5435,38742,18341,4007,9370
2019-10-20,5527,41165,18452,4033,9453
2019-10-21,5815,38728,18071,4010,9112
2019-10-22,5023,37894,17840,3624,8293
2019-10-23,4653,34654,16545,3294,7386
2019-10-24,4037,32036,15350,2887,6573
2019-10-25,3441,26915,12771,2391,4257
2019-10-26,2854,23717,10751,1873,4325
2019-10-27,1930,18412,8337,1199,2545
2019-10-28,2520,21383,9862,1779,4009
2019-10-29,3192,27026,12654,2221,5243
2019-10-30,3998,28196,12798,2672,6320
2019-10-31,4541,31862,14662,3210,7464
2019-11-01,4366,30789,14536,3096,6980
2019-11-02,4537,32563,14940,3384,7735
2019-11-03,5296,34983,16065,4297,9766
2019-11-04,5788,39481,18077,5022,11383
2019-11-05,6264,44868,20672,5377,12053
2019-11-06,5546,41390,19983,4476,9438
2019-11-07,5776,43062,21043,5140,10984
2019-11-08,5873,41627,19730,5040,11214
2019-11-09,5865,43260,19899,5430,12665
2019-11-10,3788,39643,17801,4142,9870
2019-11-11,4422,42521,19882,4632,10879
2019-11-12,6461,52903,24803,5864,14216
2019-11-13,6598,48960,23579,5864,14216

2019-11-14,6408,48292,22346,4317,10623
2019-11-15,6330,51046,23592,6234,9623
2019-11-16,6045,47141,22532,6234,9623
2019-11-17,6447,56356,25105,6234,9623
2019-11-18,5461,46639,21799,6234,9623

2019-11-19,6464,47871,22521,5741,8381
2019-11-20,7392,50666,23556,6186,8880
2019-11-21,8426,51287,24199,6374,9080
2019-11-22,29653,48570,22727,5935,13891
2019-11-23,27441,41845,20052,4963,11016
